Position,Nature,Salary,Base Salary,Bonus
Data Scientist Intern,,15 k € - 50 k €,15 k € - 50 k €,0
Contrôleur De Gestion,APPRENTI,19 k € - 23 k €,18 k € - 20 k €,3 k € - 3 k €
Marketing,APPRENTI,18 k € - 20 k €,18 k € - 20 k €,0
Service Manager,,43 k € - 84 k €,36 k € - 68 k €,7 k € - 16 k €
UX Designer,,40 k € - 51 k €,39 k € - 43 k €,8 k € - 9 k €
Strategy Consultant,,42 k € - 46 k €,42 k € - 45 k €,0
Software Engineer,INTÉRIMAIRE,19 k € - 42 k €,19 k € - 41 k €,861 € - 917 €
Ingénieur En Développement,,36 k € - 40 k €,36 k € - 40 k €,0
Développeur Logiciel,STAGE,14 k € - 19 k €,14 k € - 19 k €,0
HRBP,,59 k € - 83 k €,60 k € - 84 k €,0
Dassault Systemes - intern,STAGE,13 k € - 16 k €,13 k € - 16 k €,0
Senior Systems Engineer,,56 k € - 72 k €,56 k € - 72 k €,0
Senior Product Manager,,60 k € - 90 k €,59 k € - 89 k €,0
Ingénieur Développement Logiciel RnD,,41 k € - 53 k €,41 k € - 45 k €,8 k € - 9 k €
Stagiare r&d,STAGE,15 k € - 18 k €,15 k € - 18 k €,0
Senior Solution Architect,,70 k € - 96 k €,58 k € - 84 k €,12 k € - 13 k €
Architecte Logiciel,,53 k € - 100 k €,53 k € - 100 k €,0
Ressources Humaines,STAGE,17 k € - 19 k €,17 k € - 19 k €,0
Engineering Manager,,57 k € - 67 k €,46 k € - 56 k €,10 k € - 12 k €
Marketing and Communication Specialist,,49 k € - 70 k €,49 k € - 58 k €,11 k € - 12 k €
Software Engineering Manager,,58 k € - 77 k €,49 k € - 78 k €,10 k € - 10 k €
Ingénieur Cloud,,48 k € - 76 k €,43 k € - 63 k €,5 k € - 12 k €
Ingénieur recherche et développement,STAGE,13 k € - 17 k €,13 k € - 17 k €,0
Software QA Engineer,,36 k € - 57 k €,36 k € - 49 k €,8 k € - 9 k €
Communications,,38 k € - 41 k €,37 k € - 40 k €,0
Company Driver,STAGE,17 k € - 20 k €,17 k € - 20 k €,0
Recherche,STAGE,15 k € - 19 k €,15 k € - 19 k €,0
Alternant,APPRENTI,16 k € - 23 k €,16 k € - 20 k €,2 € - 3 k €
Chef De Projet,APPRENTI,15 k € - 22 k €,15 k € - 22 k €,0
Apprentice,STAGE,14 k € - 17 k €,14 k € - 17 k €,0
ingénieur en développement logiciel,,41 k € - 53 k €,36 k € - 45 k €,5 k € - 8 k €
UI Designer,,46 k € - 50 k €,46 k € - 50 k €,0
Strategy Analyst,,47 k € - 72 k €,47 k € - 62 k €,9 k € - 9 k €
Ingénieur recherche et développement,,41 k € - 64 k €,42 k € - 63 k €,0
Développeur de logiciels,STAGE,15 k € - 20 k €,15 k € - 20 k €,0
Chargé de communication digitale,,37 k € - 44 k €,37 k € - 44 k €,0
Ingénieur R& D,STAGE,16 k € - 21 k €,16 k € - 21 k €,0
RRH,,49 k € - 58 k €,40 k € - 48 k €,9 k € - 10 k €
Partner Sales Manager,,77 k € - 99 k €,68 k € - 83 k €,24 k € - 26 k €
Strategic Planning Analyst,,40 k € - 48 k €,40 k € - 48 k €,0
R&D Development Manager,,50 k € - 64 k €,50 k € - 64 k €,0
Communications Technician,STAGE,16 k € - 17 k €,15 k € - 17 k €,0
Finance,STAGE,14 k € - 58 k €,14 k € - 58 k €,0
Assistant Marketing Digital,STAGE,7 k € - 18 k €,7 k € - 18 k €,0
chargé de projets marketing,APPRENTI,18 k € - 20 k €,18 k € - 20 k €,0
Développeur Full Stack,APPRENTI,18 k € - 21 k €,17 k € - 21 k €,952 € - 1 k €
Web Developer,STAGE,13 k € - 19 k €,13 k € - 20 k €,0
Alternant Contrôleur de gestion,,17 k € - 22 k €,17 k € - 21 k €,809 € - 889 €
Ingénieur Développement Logiciel apprentissage,APPRENTI,16 k € - 23 k €,16 k € - 20 k €,2 k € - 3 k €
Développeur Java,,48 k € - 55 k €,42 k € - 46 k €,6 k € - 9 k €
Chargée De Recrutement,,35 k € - 52 k €,35 k € - 51 k €,0
Program Manager,,61 k € - 75 k €,48 k € - 66 k €,21 k € - 23 k €
Ingénieur Développement,,39 k € - 57 k €,39 k € - 57 k €,0
Ingénieur développement web,STAGE,16 k € - 18 k €,16 k € - 18 k €,0
-ingénieur qualité,APPRENTI,18 k € - 20 k €,18 k € - 20 k €,0
Software Engineer(),STAGE,16 k € - 22 k €,14 k € - 22 k €,1 k € - 1 k €
Juriste,,36 k € - 70 k €,36 k € - 70 k €,0
gestionnaire rh,,37 k € - 45 k €,36 k € - 40 k €,5 k € - 5 k €
UI-UX Designer,,43 k € - 50 k €,43 k € - 50 k €,0
Assistante De Direction,,32 k € - 51 k €,31 k € - 51 k €,0
Data Analyst,,39 k € - 44 k €,39 k € - 44 k €,0
Data Scientist alternant,INTÉRIMAIRE,15 k € - 21 k €,15 k € - 21 k €,0
Chef De Projet Digital,STAGE,13 k € - 16 k €,13 k € - 16 k €,0
Executive Assistant,,47 k € - 57 k €,47 k € - 57 k €,0
Directeur technique,,48 k € - 84 k €,49 k € - 83 k €,0
Technical Sales Specialist,,47 k € - 53 k €,40 k € - 53 k €,8 k € - 8 k €
Communications Technician IV,,43 k € - 72 k €,38 k € - 61 k €,4 k € - 11 k €
Stagiare,STAGE,16 k € - 17 k €,16 k € - 18 k €,0
Ingenieur Informatique,,49 k € - 61 k €,46 k € - 53 k €,10 k € - 11 k €
Technology Manager,,56 k € - 94 k €,44 k € - 61 k €,43 k € - 46 k €
Director,,82 k € - 155 k €,81 k € - 102 k €,49 k € - 53 k €
Sales,,13 k € - 1 M €,13 k € - 1 M €,43 k € - 47 k €
Industry Solution Technical,,45 k € - 50 k €,37 k € - 42 k €,8 k € - 9 k €
Ingénieur Développement logiciel et web,,46 k € - 58 k €,39 k € - 57 k €,8 k € - 8 k €
Market Analyst (apprenticeship),STAGE,22 k € - 28 k €,21 k € - 24 k €,5 k € - 6 k €
Corporate Strategy,STAGE,14 k € - 18 k €,14 k € - 17 k €,0
Data Scientist Intern,STAGE,12 k € - 22 k €,12 k € - 23 k €,0
Sales Operations Manager,,52 k € - 64 k €,51 k € - 63 k €,952 € - 1 k €
Sales,STAGE,15 k € - 27 k €,15 k € - 27 k €,0
Portfolio Manager,,51 k € - 63 k €,48 k € - 56 k €,11 k € - 11 k €
Chef de projet marketing,STAGE,16 k € - 20 k €,16 k € - 21 k €,1 € - 1 €
Sales Executive,,45 k € - 195 k €,44 k € - 197 k €,0
Stagiaire R&D,STAGE,15 k € - 16 k €,15 k € - 16 k €,0
Product Owner,,54 k € - 60 k €,44 k € - 60 k €,10 k € - 10 k €
Portfolio Management Specialist,,52 k € - 57 k €,52 k € - 57 k €,0
Intern,,17 k € - 19 k €,17 k € - 19 k €,0
Agency Supervisory Officer,,39 k € - 42 k €,38 k € - 42 k €,0
finance d'entreprise,APPRENTI,19 k € - 21 k €,19 k € - 21 k €,0
Directeur informatique,,79 k € - 86 k €,79 k € - 86 k €,0
Data Scientist alternant,,18 k € - 19 k €,17 k € - 19 k €,0
ingénieur avant vente,STAGE,19 k € - 21 k €,19 k € - 21 k €,0
IP Specialist,,51 k € - 56 k €,43 k € - 46 k €,8 k € - 9 k €
Partenaire commercial industrie,,103 k € - 111 k €,102 k € - 111 k €,0
Chargé des opérations public sector,STAGE,17 k € - 18 k €,17 k € - 18 k €,0
Devops,,53 k € - 57 k €,53 k € - 57 k €,0
Developpeur Apriso,,42 k € - 45 k €,42 k € - 46 k €,0
Software Quality Assurance Engineer,STAGE,20 k € - 22 k €,17 k € - 19 k €,3 k € - 3 k €
Spécialiste de recrutement emea,,48 k € - 52 k €,48 k € - 52 k €,0
Consultant Fonctionnel,,40 k € - 44 k €,38 k € - 41 k €,2 k € - 2 k €
Global Operations Senior Manager,,69 k € - 75 k €,59 k € - 63 k €,11 k € - 12 k €
Business Operations Specialist,,39 k € - 43 k €,40 k € - 43 k €,0
Export Compliance Specialist,STAGE,16 k € - 18 k €,17 k € - 18 k €,0
architecte infrastructure & cloud,,20 k € - 22 k €,20 k € - 22 k €,2 € - 2 €
Apprenti ingénieur en mécanique et méthodes industrielles,STAGIAIRE,45 k € - 49 k €,45 k € - 49 k €,0
co ordinator business development,STAGE,17 k € - 18 k €,17 k € - 18 k €,0
Configuration Developer,STAGE,13 k € - 15 k €,13 k € - 15 k €,0
Senior Solutions Consultant,,52 k € - 56 k €,44 k € - 47 k €,9 k € - 9 k €
directeur juridique adjoint,,107 k € - 115 k €,94 k € - 104 k €,12 k € - 12 k €
Community Manager,,19 k € - 21 k €,18 k € - 19 k €,1 k € - 1 k €
Marketing and Communication Specialist,STAGE,24 k € - 26 k €,25 k € - 26 k €,0
